listing_id,date
157612,2012-02-13
157612,2012-02-14
157612,2012-05-07
157612,2012-06-15
157612,2012-06-22
157612,2012-07-01
157612,2012-07-02
157612,2012-07-03
157612,2012-07-30
157612,2012-08-14
157612,2012-08-18
157612,2012-08-26
157612,2012-09-29
157612,2012-12-18
157612,2012-12-20
157612,2012-12-31
157612,2013-04-29
157612,2013-05-13
157612,2013-05-20
157612,2013-05-23
157612,2013-06-11
157612,2015-12-01
157612,2015-12-07
157612,2015-12-15
157612,2016-02-29
157612,2016-03-10
157612,2016-03-15
157612,2016-05-01
157612,2016-05-22
157612,2016-06-01
157612,2016-06-11
157612,2016-06-20
157612,2016-07-10
157612,2016-07-25
157612,2016-08-08
157612,2016-08-18
157612,2016-09-19
157612,2016-09-25
157612,2016-10-03
157612,2016-12-04
157612,2016-12-14
157612,2016-12-17
157612,2017-01-30
157612,2017-04-24
157612,2017-04-30
157612,2017-05-07
157612,2017-05-12
157612,2017-05-15
157612,2017-05-22
157612,2017-05-28
157612,2017-06-05
157612,2017-06-12
157612,2017-07-07
157612,2017-07-20
157612,2017-07-27
157612,2017-08-11
157612,2017-08-27
157612,2017-09-01
157612,2017-09-13
157612,2017-09-24
157612,2017-12-17
157612,2018-04-08
157612,2018-04-15
157612,2018-05-06
157612,2018-06-11
157612,2018-06-15
157612,2018-06-21
157612,2018-07-12
157612,2018-07-19
157612,2018-08-07
157612,2018-08-14
157612,2018-08-19
157612,2018-08-25
157612,2018-09-15
157612,2018-09-27
157612,2018-10-03
157612,2018-12-17
157612,2019-02-10
157612,2019-02-14
157612,2019-02-23
157612,2019-05-10
157612,2019-05-31
157612,2019-06-10
157612,2019-06-19
157612,2019-06-23
157612,2019-07-10
157612,2019-07-17
157612,2019-07-23
157612,2019-07-29
157612,2019-08-24
157612,2019-09-15
157612,2019-09-26
157612,2019-09-29
157612,2019-11-24
157612,2019-12-01
157612,2019-12-08
157612,2021-10-24
157612,2021-10-31
157612,2021-11-08
157612,2021-11-19
283495,2015-04-26
283495,2015-07-04
283495,2015-11-16
283495,2016-06-13
283495,2016-06-17
283495,2016-06-20
283495,2017-02-19
283495,2017-04-06
283495,2018-06-11
283495,2018-08-05
299194,2012-04-08
299194,2012-06-11
299194,2012-06-20
299194,2012-10-15
299194,2013-05-07
299194,2013-05-28
299194,2013-06-15
299194,2013-06-20
299194,2013-07-07
299194,2013-07-16
299194,2013-07-22
299194,2013-09-30
299194,2013-10-05
299194,2013-10-21
299194,2013-12-22
299194,2014-01-03
299194,2014-01-06
299194,2014-01-18
299194,2014-01-27
299194,2014-02-02
299194,2014-02-13
299194,2014-02-23
299194,2014-02-24
299194,2014-03-03
299194,2014-03-17
299194,2014-03-24
299194,2014-04-07
299194,2014-06-08
299194,2014-06-10
299194,2014-06-15
299194,2014-07-05
299194,2014-07-09
299194,2014-07-13
299194,2014-07-14
299194,2014-07-20
299194,2014-07-22
299194,2014-07-24
299194,2014-07-25
299194,2014-08-02
299194,2014-08-06
299194,2014-08-11
299194,2014-08-22
299194,2014-08-23
299194,2014-08-24
299194,2014-08-26
299194,2014-08-28
299194,2014-09-11
299194,2014-09-14
299194,2014-09-16
299194,2014-09-22
299194,2014-09-28
299194,2014-09-29
299194,2014-10-23
299194,2014-10-26
299194,2014-10-29
299194,2014-11-02
299194,2014-11-12
299194,2014-11-16
299194,2014-12-01
299194,2014-12-17
299194,2014-12-28
299194,2015-01-01
299194,2015-01-03
299194,2015-01-05
299194,2015-01-11
